Angle,Torque
0,0
20,16.07
40,21.37
60,21.54
80,21.42
100,21.35
150,21.2
200,21.11
250,21.08
300,21
350,21
400,20.98
500,20.91
600,20.94
700,20.91
800,20.95
900,20.98
1000,20.98
1100,21
1200,20.92
