Angle,Torque
0,0
20,5.82
40,6.32
60,6.54
80,6.75
100,6.91
180,7.41
200,7.52
250,7.87
300,8.02
350,8.2
400,8.4
500,8.6
600,8.9
700,9.07
800,9.08
900,9.25
1000,9.35
1100,9.4
1200,9.46
1300,9.5
1400,9.58
1500,9.59
1600,9.62
1700,9.68
1800,9.74
1900,9.78
2000,9.85
2100,9.86
2200,9.87
2300,9.94
2400,10.01
2500,10.09
2600,10.13
2700,10.16
2800,10.2
2900,10.29
